Año,Mes,Población total,Población de 15 años y más,Población económicamente activa (PEA),PEA Ocupada,PEA Desocupada,Población no económicamente activa (PNEA),PNEA Disponible,PNEA No disponible,3. Población ocupada por,3.1 Posición en la ocupación,Trabajadores subordinados y remunerados,Empleadores,Trabajadores por cuenta propia,Trabajadores no remunerados,No especificado,3.2 Sector de actividad económica,Primario,"Agricultura, ganadería, silvicultura, caza y pesca",Secundario ,"Industria extractiva, de la electricidad y manufacturera",Construcción,Terciario,Comercio,"Restaurantes y servicios de alojamiento, transportes, comunicaciones, correo y almacenamiento","Servicios profesionales, financieros y corporativos","Servicios sociales, gobierno y organismos internacionales",Servicios diversos,No especificado,3.3 Nivel de ingresos,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos,No recibe ingresos,No especificado,3.6 Ámbito y tamaño de la unidad económica,Ámbito agropecuario,Ámbito no agropecuario,Micronegocios,Pequeños establecimientos,Medianos establecimientos,Grandes establecimientos,Gobierno y otros,No especificado,3.7 Distribución por tipo de unidad económica,Empresas y negocios,Instituciones,Sector de los hogares,Situaciones de carácter especial y no especificadas,3.8 Condición de informalidad,Ocupación formal,Ocupación informal,Sector informal,Fuera de sector informal,Tasa de desocupación de la población económicamente activa
2005.00,Nov,107548500.00,73741779.00,43880478.00,42590473.00,1290005.00,29861301.00,4553511.00,25307790.00,42590473.00,42590473.00,27627863.00,1960677.00,9991766.00,3010167.00,0.00,42590473.00,6888900.00,6888900.00,10840608.00,7443068.00,3397540.00,24560267.00,8046453.00,4648879.00,2130575.00,5472694.00,4261666.00,300698.00,42590473.00,6053052.00,9709368.00,8203593.00,7884777.00,4568926.00,4032710.00,2138047.00,42590473.00,6888900.00,35253018.00,17009221.00,6325261.00,4104223.00,3627144.00,4187169.00,448555.00,42590473.00,21130179.00,5831416.00,15316107.00,312771.00,42590473.00,16916692.00,25673781.00,11809317.00,13864464.00,
2005.00,Dic,107550564.00,74217978.00,44216618.00,42991813.00,1224805.00,30001360.00,4445214.00,25556146.00,42991813.00,42991813.00,27687758.00,2036748.00,10205259.00,3062048.00,0.00,42991813.00,6487901.00,6487901.00,10703888.00,7280790.00,3423098.00,25412350.00,8595867.00,4583414.00,2291586.00,5513444.00,4428039.00,387674.00,42991813.00,5807461.00,8966289.00,8743992.00,8368635.00,4742519.00,3940891.00,2422026.00,42991813.00,6487901.00,36009738.00,17318932.00,6567501.00,4317083.00,3609181.00,4197041.00,494174.00,42991813.00,21067162.00,5895154.00,15635831.00,393666.00,42991813.00,17237155.00,25754658.00,12248052.00,13506606.00,
2006.00,Ene,107863930.00,73926906.00,43975610.00,42446196.00,1529414.00,29951296.00,4413291.00,25538005.00,42446196.00,42446196.00,27380219.00,2136198.00,9960765.00,2969014.00,0.00,42446196.00,6136001.00,6136001.00,10832367.00,7429067.00,3403300.00,25088477.00,8242695.00,4553172.00,2276506.00,5738563.00,4277541.00,389351.00,42446196.00,5863665.00,8843601.00,9311559.00,7631842.00,4745946.00,3758956.00,2290627.00,42446196.00,6136001.00,35801125.00,17278616.00,6486414.00,4213364.00,3625353.00,4197378.00,509070.00,42446196.00,21073041.00,6042034.00,14938379.00,392742.00,42446196.00,17361005.00,25085191.00,11765475.00,13319716.00,
2006.00,Feb,107861723.00,74031410.00,44171432.00,42517111.00,1654321.00,29859978.00,4630549.00,25229429.00,42517111.00,42517111.00,27981347.00,2096506.00,9853969.00,2585289.00,0.00,42517111.00,6276810.00,6276810.00,11022785.00,7492119.00,3530666.00,24857682.00,8244568.00,4613782.00,2231639.00,5554333.00,4213360.00,359834.00,42517111.00,5933022.00,9566166.00,9495483.00,7213746.00,4674385.00,3345855.00,2288454.00,42517111.00,6276810.00,35617923.00,17304336.00,6167775.00,4337967.00,3635938.00,4171907.00,622378.00,42517111.00,21538344.00,6026160.00,14592439.00,360168.00,42517111.00,17521666.00,24995445.00,11598407.00,13397038.00,
2006.00,Mar,107862942.00,74311362.00,44417839.00,42946800.00,1471039.00,29893523.00,4812613.00,25080910.00,42946800.00,42946800.00,28001897.00,1966097.00,10095631.00,2883175.00,0.00,42946800.00,6059321.00,6059321.00,11035591.00,7457500.00,3578091.00,25516418.00,8448483.00,4631396.00,2413203.00,5562954.00,4460382.00,335470.00,42946800.00,5977092.00,9235514.00,9690184.00,7385823.00,4792605.00,3554441.00,2311141.00,42946800.00,6059321.00,36257575.00,17736430.00,6364011.00,4362452.00,3662838.00,4131844.00,629904.00,42946800.00,21637638.00,5862547.00,15082325.00,364290.00,42946800.00,17629499.00,25317301.00,12031817.00,13285484.00,
2006.00,Abr,108180199.00,74244124.00,44518373.00,43096003.00,1422370.00,29725751.00,4731278.00,24994473.00,43096003.00,43096003.00,28224037.00,2118874.00,9832285.00,2920807.00,0.00,43096003.00,5969993.00,5969993.00,11037969.00,7598110.00,3439859.00,25740045.00,8521445.00,4913793.00,2279597.00,5680416.00,4344794.00,347996.00,43096003.00,5768040.00,9186848.00,9497236.00,7832846.00,4890414.00,3548656.00,2371963.00,43096003.00,5969993.00,36616766.00,17694111.00,6377969.00,4542998.00,3731034.00,4270654.00,509244.00,43096003.00,21856641.00,6024961.00,14855179.00,359222.00,43096003.00,17701560.00,25394443.00,11833303.00,13561140.00,
2006.00,May,108179558.00,74405480.00,44537290.00,43272760.00,1264530.00,29868190.00,4715417.00,25152773.00,43272760.00,43272760.00,28339553.00,2088255.00,9968613.00,2876339.00,0.00,43272760.00,6523508.00,6523508.00,11368359.00,7684882.00,3683477.00,25084216.00,8236471.00,4866196.00,2304053.00,5369517.00,4307979.00,296677.00,43272760.00,5954449.00,9548051.00,9637432.00,7358113.00,4812603.00,3615923.00,2346189.00,43272760.00,6523508.00,36241597.00,17455073.00,6658313.00,4157878.00,3827497.00,4142836.00,507655.00,43272760.00,22379399.00,5785494.00,14806502.00,301365.00,43272760.00,17488136.00,25784624.00,11570431.00,14214193.00,
2006.00,Jun,108179963.00,74497247.00,44404817.00,42957738.00,1447079.00,30092430.00,4473593.00,25618837.00,42957738.00,42957738.00,27711362.00,2172787.00,10175318.00,2898271.00,0.00,42957738.00,6521668.00,6521668.00,10817843.00,7286664.00,3531179.00,25315322.00,8239698.00,4540727.00,2415336.00,5641411.00,4478150.00,302905.00,42957738.00,5791193.00,8811956.00,9487007.00,7739937.00,5001226.00,3854984.00,2271435.00,42957738.00,6521668.00,35885703.00,17190522.00,6444228.00,4311548.00,3776679.00,4162726.00,550367.00,42957738.00,21281482.00,5950469.00,15419468.00,306319.00,42957738.00,17298310.00,25659428.00,11803903.00,13855525.00,
2006.00,Jul,108510387.00,74801680.00,45681803.00,43851142.00,1830661.00,29119877.00,4882050.00,24237827.00,43851142.00,43851142.00,28294618.00,2231060.00,10173628.00,3151836.00,0.00,43851142.00,6254893.00,6254893.00,11355687.00,7890336.00,3465351.00,25905614.00,8681533.00,5016729.00,2344865.00,5548437.00,4314050.00,334948.00,43851142.00,5652528.00,8929276.00,9778545.00,7724346.00,5364215.00,4018146.00,2384086.00,43851142.00,6254893.00,37048999.00,18146632.00,6476985.00,4474539.00,3707945.00,4242898.00,547250.00,43851142.00,22352060.00,5889743.00,15270770.00,338569.00,43851142.00,18179003.00,25672139.00,11806979.00,13865160.00,
2006.00,Ago,108510339.00,75010966.00,45160633.00,43411986.00,1748647.00,29850333.00,5098543.00,24751790.00,43411986.00,43411986.00,28280662.00,2134330.00,9884752.00,3112242.00,0.00,43411986.00,6692626.00,6692626.00,11337444.00,7834377.00,3503067.00,25026500.00,8258987.00,4690172.00,2422648.00,5339737.00,4314956.00,355416.00,43411986.00,5485232.00,9124844.00,9617855.00,7513992.00,5060947.00,4122997.00,2486119.00,43411986.00,6692626.00,36103798.00,17220436.00,6666970.00,4222590.00,3875129.00,4118673.00,615562.00,43411986.00,22421715.00,5754460.00,14872004.00,363807.00,43411986.00,18159355.00,25252631.00,11268409.00,13984222.00,
